1
1000 100000
708 861 1
336 497 2
273 573 2
325 741 1
764 942 2
24 334 2
457 919 1
467 749 1
331 446 2
109 156 1
618 907 1
348 805 2
49 868 1
30 53 1
649 693 1
367 451 1
87 664 1
406 808 2
98 583 1
144 175 1
226 929 1
218 768 2
650 871 2
531 549 1
159 396 2
109 885 2
389 780 1
126 615 1
122 272 1
175 478 2
867 911 1
78 839 1
797 817 2
20 475 2
62 572 1
52 82 2
189 963 1
276 803 2
195 876 1
84 842 1
40 875 1
181 370 1
363 761 2
956 969 2
610 923 1
226 571 1
139 881 2
547 740 2
766 899 1
38 881 2
243 450 2
30 851 1
722 964 1
586 824 2
648 727 1
646 994 2
123 177 2
397 865 2
556 706 1
24 182 2
591 763 1
57 704 1
14 131 2
356 555 2
90 936 2
121 289 1
393 477 1
130 807 2
424 818 1
38 718 2
85 208 2
144 865 2
400 905 2
261 638 1
841 858 1
147 952 1
27 997 1
268 491 1
694 788 2
34 394 2
147 386 2
89 704 2
46 288 2
252 368 2
241 858 2
205 217 2
355 643 2
674 746 1
182 844 2
103 584 2
247 601 1
68 557 1
329 366 1
153 525 2
728 819 1
786 856 2
414 827 2
12 51 2
506 831 2
300 718 2
919 980 1
141 966 2
571 982 1
518 926 1
56 306 1
34 529 2
289 328 2
3 43 1
676 780 1
553 685 1
547 887 2
71 973 2
288 906 2
41 451 2
783 956 2
203 611 1
48 491 1
261 629 1
30 785 1
181 619 2
195 740 1
342 716 1
285 828 2
97 583 1
239 845 1
860 982 2
157 728 2
464 587 1
96 155 1
648 832 2
272 438 1
311 358 2
322 664 2
434 743 2
122 554 1
686 860 2
142 970 1
502 538 2
568 701 1
580 765 2
14 714 2
493 662 1
194 411 2
203 385 1
604 988 1
770 825 1
705 975 2
268 748 2
535 805 2
214 464 2
204 422 2
264 272 2
144 803 2
470 487 2
726 821 2
272 963 1
224 645 1
458 793 2
99 149 2
111 666 2
250 478 2
163 905 1
908 988 1
277 859 2
273 569 1
371 763 1
18 51 2
367 436 2
50 844 2
471 564 1
60 253 2
196 950 2
51 818 1
132 777 1
606 669 1
532 647 1
442 884 1
500 900 2
300 694 1
8 285 1
186 685 2
463 813 1
184 459 1
568 695 2
555 794 2
493 611 2
58 231 1
47 408 2
489 817 1
550 608 1
162 677 2
621 891 1
304 339 2
348 779 1
309 700 2
239 939 1
437 466 1
591 981 2
315 362 1
506 767 2
717 872 2
371 393 2
35 205 2
244 557 1
519 916 2
213 842 2
815 876 1
159 538 2
546 922 2
80 884 1
362 826 1
685 919 2
384 396 1
196 486 1
328 908 1
256 624 1
22 780 1
370 737 2
638 821 2
58 467 2
440 555 1
158 775 1
4 945 2
425 639 2
284 512 2
210 895 1
404 798 2
320 699 2
397 675 2
260 954 2
314 498 2
287 424 2
204 416 1
609 614 2
310 682 1
229 800 1
671 933 2
204 988 1
8 848 1
433 444 2
323 586 1
143 551 1
17 273 2
323 603 1
609 833 1
255 460 2
148 213 2
194 675 2
464 641 1
9 756 2
657 945 1
454 497 1
193 369 1
391 525 1
173 625 1
312 771 1
38 634 1
366 805 1
513 924 1
156 721 2
76 993 1
204 280 1
268 952 2
476 627 2
933 970 1
298 611 2
487 959 1
650 895 2
143 373 1
590 875 1
410 969 1
291 446 1
59 904 1
256 832 2
415 428 1
729 769 2
193 385 2
754 897 2
381 622 2
23 389 2
625 850 1
57 549 1
525 898 1
346 635 2
77 804 2
460 644 1
232 532 2
312 586 1
140 716 2
609 726 2
225 826 2
850 982 2
217 985 2
28 725 1
408 864 1
578 802 1
211 770 2
716 810 1
223 994 2
302 435 2
409 441 2
81 570 2
159 604 2
400 403 1
215 514 1
964 981 2
601 781 1
215 758 1
346 433 2
774 798 1
58 446 2
201 260 2
335 435 1
786 940 1
770 985 2
403 415 1
64 753 2
252 563 2
111 410 2
295 838 1
299 816 1
191 789 1
189 673 2
636 986 2
78 637 1
593 785 1
250 293 2
878 994 2
39 661 2
590 674 2
179 850 2
52 763 1
48 385 1
168 335 1
374 608 2
59 513 2
140 328 2
182 893 1
30 422 1
483 925 2
108 795 1
308 494 1
202 750 1
397 471 2
15 204 2
667 864 2
119 238 1
254 748 1
528 877 2
185 332 1
300 701 2
268 917 1
44 222 1
196 594 2
165 997 2
706 797 2
38 329 2
604 749 2
71 907 2
104 167 1
257 441 1
197 268 1
175 669 1
164 850 2
704 753 2
517 848 1
35 658 2
530 610 1
374 767 1
562 747 2
123 237 1
341 804 1
9 349 2
617 696 2
165 749 1
6 118 2
522 724 1
504 684 1
283 664 1
549 731 2
381 624 2
29 521 1
106 433 2
461 497 2
67 849 2
596 916 1
108 252 1
291 373 2
308 637 1
117 897 1
3 781 2
561 766 1
124 328 2
316 472 1
264 712 1
727 850 1
59 504 2
592 910 1
321 552 2
161 597 2
249 909 2
153 611 2
732 961 2
635 795 1
503 828 1
761 834 1
335 867 1
235 502 1
171 593 1
600 751 2
11 419 1
478 558 2
542 743 1
443 750 1
551 781 1
319 851 1
466 614 2
450 948 1
144 360 2
335 823 1
270 620 2
208 933 1
373 634 2
237 386 1
93 499 2
280 730 1
23 972 1
441 901 1
140 525 1
686 691 2
359 609 2
26 994 1
113 432 2
492 598 1
462 726 2
430 458 1
168 557 2
569 651 2
161 263 2
313 529 1
175 815 1
510 672 2
739 927 2
121 606 2
624 905 2
219 260 1
393 972 2
430 701 2
374 489 1
373 819 2
330 732 2
166 721 1
249 434 1
366 960 2
515 726 2
146 690 1
409 620 1
313 925 1
558 772 2
350 391 1
374 998 2
655 989 2
387 852 2
102 747 1
243 977 2
891 969 2
325 446 2
45 986 2
214 927 1
784 948 1
27 873 2
396 569 1
342 379 1
102 634 2
193 996 2
308 369 2
87 686 1
833 913 1
72 649 2
307 429 1
39 733 1
47 129 2
184 632 1
96 289 1
49 743 2
143 810 1
824 941 1
739 758 2
159 359 2
622 981 2
753 918 1
866 977 1
264 377 1
191 469 1
284 856 1
770 968 2
435 623 1
101 363 2
761 890 1
452 811 1
100 339 1
334 624 1
476 689 1
101 230 2
235 874 2
121 509 2
8 349 2
46 898 2
323 573 1
564 708 1
103 145 2
191 622 2
249 652 2
21 219 2
111 464 1
170 714 1
316 934 1
650 899 1
602 794 2
178 612 2
163 193 1
405 808 1
334 609 1
433 542 1
89 160 1
151 390 1
610 798 1
180 564 2
415 845 1
111 913 2
796 841 1
947 969 2
354 688 2
187 424 2
715 959 2
14 573 1
790 809 2
110 311 1
635 920 1
408 487 2
23 923 1
853 891 1
349 696 1
81 449 1
244 680 2
362 708 1
526 852 1
332 974 1
19 118 2
548 693 1
211 964 2
57 531 2
79 917 2
298 525 2
130 377 2
227 922 1
560 919 1
822 994 1
79 688 2
285 539 1
305 970 1
646 984 2
388 770 1
166 671 1
28 73 2
264 802 2
311 480 2
256 536 2
30 156 1
205 612 1
245 284 2
659 887 1
248 270 2
516 868 2
470 889 1
644 773 2
663 734 2
512 713 1
474 668 2
105 423 2
91 155 1
243 489 1
382 949 2
59 322 1
147 617 1
268 575 2
330 924 1
63 178 2
571 883 2
601 935 1
136 699 1
141 880 1
714 893 1
613 905 1
475 971 1
190 483 2
810 862 1
775 831 1
646 777 2
185 207 2
773 785 2
102 915 2
256 984 2
695 912 2
139 756 1
80 642 2
134 733 2
181 712 2
402 646 2
361 663 2
210 530 2
673 717 1
583 784 2
500 651 2
281 748 2
188 270 1
82 954 2
297 919 2
530 705 2
194 943 1
317 559 1
544 606 1
467 861 1
263 389 1
561 899 2
387 572 2
90 336 2
137 209 2
385 882 2
450 856 2
820 914 1
110 751 1
187 359 1
592 823 2
295 316 1
340 516 2
540 970 1
188 258 2
266 433 1
846 889 2
48 906 2
467 505 1
70 171 1
577 886 1
412 732 2
88 449 2
186 317 2
352 761 2
511 854 2
282 638 2
118 234 1
634 941 1
612 665 2
217 837 1
727 900 1
102 163 1
88 395 1
20 136 2
281 659 1
296 790 2
626 679 1
254 859 1
859 889 2
363 976 2
640 945 2
199 665 2
128 139 1
760 836 1
181 365 2
402 843 2
34 621 2
104 826 2
736 803 2
236 867 1
910 941 1
669 725 2
336 364 1
8 779 2
49 76 1
635 834 1
575 915 2
453 857 1
254 279 2
288 607 1
347 374 1
411 554 2
585 806 1
769 984 2
74 762 2
352 966 1
13 86 1
