1
1000 1000
403 467 1
446 785 1
376 543 2
191 760 1
204 699 1
481 636 2
190 810 1
262 680 1
406 881 2
159 864 1
452 857 1
536 668 2
67 951 1
264 273 2
659 924 1
316 849 2
197 631 1
119 841 2
51 412 1
170 699 1
283 870 1
57 473 1
248 959 1
761 803 1
502 608 1
157 383 2
238 629 2
4 923 1
487 840 2
411 866 1
93 596 1
70 87 2
28 371 2
132 420 2
175 634 2
221 534 2
363 685 1
734 942 2
259 865 2
219 256 2
383 530 1
359 403 1
121 980 1
198 761 2
335 570 2
718 877 2
537 875 1
72 529 1
605 691 2
847 917 2
398 449 2
537 729 2
116 618 1
189 555 2
164 694 2
781 788 2
199 615 1
26 554 1
486 727 1
493 575 2
934 961 1
331 592 2
829 875 2
661 957 2
455 857 2
650 921 2
169 572 1
527 942 2
289 769 1
365 719 1
164 366 2
229 395 1
37 602 1
27 394 2
66 299 2
148 272 1
21 636 1
736 787 2
283 594 1
335 339 1
426 573 2
410 628 2
49 255 1
818 876 1
286 339 1
17 843 2
708 894 1
71 898 2
120 804 1
834 875 1
189 381 2
182 758 1
47 812 2
420 839 2
420 954 1
444 580 2
766 898 1
450 542 1
266 644 1
860 951 1
406 530 1
468 532 2
295 881 1
353 447 2
555 648 1
295 594 1
560 705 1
48 211 1
14 71 2
103 639 1
727 906 1
481 927 1
309 958 2
638 750 1
32 61 2
174 890 1
134 937 2
198 973 2
514 985 2
433 454 2
224 334 2
480 549 2
10 569 1
486 631 2
78 123 1
282 826 2
534 551 1
39 781 1
236 246 1
473 565 2
293 440 2
103 181 1
590 790 1
420 668 2
596 806 2
441 511 2
282 825 1
484 541 1
122 426 2
266 667 1
238 504 2
319 905 1
201 433 2
221 871 2
456 730 2
265 953 1
32 733 2
621 719 1
528 568 1
24 331 1
626 792 2
409 765 1
347 665 1
221 801 1
404 434 1
168 529 2
410 698 1
670 796 1
16 243 2
736 775 1
587 687 2
774 841 1
166 585 2
105 345 1
217 643 1
576 786 2
109 446 1
68 612 1
799 911 1
867 987 1
92 837 2
17 80 1
692 928 1
792 897 1
143 607 2
581 603 2
184 595 2
425 502 2
222 822 1
396 476 1
387 995 2
71 355 2
83 253 1
226 694 2
112 208 1
710 898 1
122 683 2
246 278 1
370 569 2
385 778 2
638 992 2
31 536 1
797 997 1
882 904 2
899 910 2
332 370 1
477 886 1
664 839 2
232 998 1
606 737 1
102 356 1
33 621 2
419 847 2
654 835 2
14 822 2
152 361 2
272 832 2
794 867 2
880 965 2
771 803 1
335 930 1
255 335 2
581 922 2
24 520 2
176 437 1
465 505 2
579 1000 2
120 581 2
478 673 2
531 998 2
442 738 2
342 531 1
655 888 2
197 794 2
52 472 2
904 965 1
286 543 1
1 867 2
541 572 1
470 508 2
232 323 2
158 927 2
516 840 2
91 735 1
399 963 1
435 950 1
367 567 2
646 779 2
348 824 2
18 112 2
370 448 1
160 308 2
297 358 1
426 983 2
274 875 1
56 483 2
64 907 1
180 276 2
539 926 2
652 941 1
437 453 1
36 648 2
518 540 2
267 550 2
140 645 1
222 973 2
467 619 1
619 815 2
87 368 1
718 948 2
415 498 1
251 972 2
857 907 1
320 633 2
32 926 1
882 966 1
392 914 1
127 671 2
228 930 1
433 737 1
343 577 2
91 147 2
350 991 2
338 498 1
136 509 2
692 858 1
70 251 1
63 134 2
41 876 1
538 715 1
62 763 2
225 980 1
289 807 2
370 374 1
332 543 2
107 317 2
379 614 1
234 415 1
269 996 2
70 187 1
115 680 2
77 401 1
572 945 1
45 651 2
132 582 2
553 611 1
567 901 2
273 628 2
249 573 2
210 663 1
320 734 1
276 291 2
202 489 1
458 472 2
55 774 2
181 529 2
21 404 1
407 861 2
20 908 1
22 412 1
321 831 2
71 536 2
504 749 2
441 723 2
462 720 1
124 680 1
93 833 2
713 895 2
100 463 2
806 930 1
461 939 1
882 982 1
2 948 1
744 748 2
310 505 2
92 686 2
580 773 2
705 950 2
431 511 2
976 977 1
467 648 2
229 326 1
524 845 1
352 702 2
302 735 2
711 946 1
318 576 2
28 355 1
546 744 1
712 798 2
288 905 2
438 448 2
26 967 1
5 166 1
488 927 2
282 787 2
333 526 2
81 542 2
355 665 1
2 803 2
344 682 2
386 955 2
11 27 1
182 758 2
491 718 2
122 687 2
290 996 2
29 855 1
4 180 2
452 545 2
330 765 1
81 251 1
299 720 2
69 415 1
616 990 1
50 147 1
605 981 2
15 821 1
388 690 2
92 978 2
305 500 2
394 597 2
217 853 2
135 839 1
650 698 2
484 649 2
304 698 1
159 552 1
176 573 2
303 942 2
61 871 1
939 948 1
435 912 2
421 468 1
777 958 1
84 369 1
621 723 1
75 416 2
185 654 2
403 557 1
46 588 1
20 29 1
178 846 2
72 117 1
684 862 2
868 873 1
114 697 2
288 632 1
532 723 1
365 471 1
79 604 2
78 296 1
410 816 1
615 998 1
739 879 1
143 218 1
323 673 2
879 911 2
144 560 1
20 847 2
89 982 2
30 798 1
525 946 1
19 91 2
199 608 2
250 618 2
339 369 2
186 276 2
141 783 2
466 632 2
215 785 1
100 531 2
581 980 1
509 765 1
444 816 2
31 885 2
580 606 1
383 561 1
143 184 2
175 573 1
191 882 2
567 820 1
114 931 1
68 263 2
56 942 1
520 988 2
169 417 1
70 558 2
466 787 2
893 954 2
494 719 1
80 796 2
87 958 1
76 279 2
340 499 1
505 875 2
121 658 2
583 984 2
593 919 1
556 568 1
525 747 2
21 753 2
575 885 2
441 644 1
425 985 1
319 749 1
95 689 2
443 715 2
72 383 2
83 901 2
213 565 1
751 868 1
297 893 1
150 690 2
62 503 1
87 633 2
483 674 1
580 769 2
12 564 2
139 340 2
624 762 2
171 426 1
38 184 2
208 937 1
561 759 1
542 749 1
411 752 1
131 515 2
307 873 1
532 841 1
82 533 2
201 919 2
316 333 2
629 931 1
23 241 2
36 319 2
